id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,cluster label
1,1,0.999999879,0.997010235,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.490118577,0,0,1,0.99,0.941176471,1,1,1,1,30
2,1,0.9999987,0.997059748,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.996062992,0.99,0.98,1,1,1,1,0.23,1,30
3,1,0.999999866,0.996932548,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.893280632,0,0,1,0.97,0.705882353,1,1,1,1,30
4,1,0.999999816,0.997010302,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.913043478,0.102362205,0,1,0.96,0.647058824,1,1,1,0.45,30
5,1,0.999999816,0.997010235,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.584980237,0,0,1,0.99,0.882352941,1,1,1,1,30
6,1,0.999999775,0.997140175,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0.778656126,0,0,1,0.98,0.823529412,0.967032967,0.985074627,1,1,30
7,1,0.999999601,0.996876477,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.075098814,0.724409449,0.7,0.98,1,1,1,1,1,1,30
8,1,0.997099383,0.999615005,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.99543379,0.997716895,1,1,1,1,0.347368421,0,1,0,0.996062992,0.99,0.39,1,1,1,1,1,1,31
9,1,0.996842425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.996047431,0.992125984,0,1,0,1,1,1,1,1,31
10,1,0.982318841,0.999909802,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.940944882,0.94,0.97,1,1,1,1,1,1,32
11,1,0.986376812,0.998418003,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.063241107,0.996062992,0.99,0.97,0.99,1,1,1,1,1,33
12,1,0.999999791,0.999997484,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.98630137,0.974885845,1,1,1,1,0,1,0.67,0.561264822,0,0,1,0.99,0.941176471,0.989010989,1,1,1,34
13,1,0.999999809,0.999997469,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.9543379,0.9543379,1,1,1,1,0,1,1,0.533596838,0,0,1,0.99,0.764705882,1,1,1,1,34
14,1,0.999999814,0.999997477,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.956621005,0.956621005,1,1,1,1,0,1,1,0.561264822,0,0,1,0.99,0.882352941,1,1,1,1,34
15,1,0.999999814,0.999997467,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.486166008,0,0,1,0.99,0.823529412,1,1,1,1,34
16,1,0.999999825,0.999997479,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.993150685,0.993150685,1,1,1,1,0,1,1,0.5256917,0,0,1,0.99,0.941176471,1,1,1,1,34
17,1,0.999999788,0.999997476,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.970319635,0.970319635,1,1,1,1,0,1,1,0.561264822,0,0,1,0.99,0.882352941,1,1,1,1,34
18,1,0.999999816,0.999997499,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.997716895,0.97260274,1,1,1,1,0,1,0.69,0.434782609,0,0,1,0.99,0.764705882,1,1,1,1,34
19,1,0.999999825,0.999997479,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.98630137,0.98630137,1,1,1,1,0,1,1,0.549407115,0,0,1,0.99,0.941176471,1,1,1,1,34
20,1,0.99999982,0.999997488,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.970319635,0.961187215,1,1,1,1,0,1,0.78,0.577075099,0,0,1,0.99,0.764705882,1,1,1,1,34
21,1,0.999999822,0.999997485,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.997716895,0.997716895,1,1,1,1,0,1,1,0.415019763,0,0,1,0.99,0.882352941,1,1,1,1,34
22,1,0.999999811,0.999997469,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.984018265,0.984018265,1,1,1,1,0,1,1,0.604743083,0,0,1,0.99,0.705882353,1,1,1,1,34
23,1,0.999999822,0.999997464,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.970319635,0.961187215,1,1,1,1,0,1,0.72,0.470355731,0,0,1,0.99,0.823529412,1,1,1,1,34
24,1,0.999999802,0.999997506,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.98173516,0.98173516,1,1,1,1,0,1,1,0.561264822,0,0,1,0.99,0.823529412,0.978021978,0.985074627,1,1,34
25,1,0.999999793,0.999997473,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.997716895,0.997716895,1,1,1,1,0,1,1,0.612648221,0,0,1,0.99,0.823529412,1,1,1,1,34
26,1,0.999999827,0.999997479,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.99086758,0.99086758,1,1,1,1,0,1,1,0.584980237,0.011811024,0,1,0.99,0.705882353,0.989010989,0.985074627,1,1,34
27,1,0.999999807,0.999997508,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.984018265,0.9543379,1,1,1,1,0,1,0.9,0.422924901,0,0,1,0.99,0.823529412,1,1,1,1,34
28,1,0.999999796,0.999997476,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.96347032,0.96347032,1,1,1,1,0,1,1,0.632411067,0,0,1,0.99,0.882352941,1,1,1,1,34
29,1,0.99999983,0.999997479,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.997716895,0.98173516,1,1,1,1,0,1,0.78,0.418972332,0,0,1,0.99,0.764705882,1,1,1,1,34
30,1,0.99999983,0.999997471,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.993150685,0.993150685,1,1,1,1,0,1,1,0.454545455,0,0,1,0.99,0.823529412,1,1,1,1,34
31,1,0.99999983,0.999997471,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.99543379,0.99543379,1,1,1,1,0,1,1,0.450592885,0,0,1,0.99,0.882352941,1,1,1,1,34
32,1,0.999999818,0.999997489,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.979452055,0.974885845,1,1,1,1,0,1,0.75,0.351778656,0,0,1,0.99,0.941176471,1,1,1,1,34
33,1,0.999999827,0.999997502,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.993150685,0.993150685,1,1,1,1,0,1,1,0.509881423,0,0,1,0.99,0.470588235,1,1,0.52,0.35,34
34,1,0.999999791,0.999997506,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.949771689,0.949771689,1,1,1,1,0,1,1,0.533596838,0,0,1,0.99,0.823529412,1,1,1,1,34
35,1,0.999999783,0.999997499,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.96347032,0.96347032,1,1,1,1,0,1,1,0.557312253,0,0,1,0.99,0.941176471,1,1,1,1,34
36,1,0.999999834,0.999997479,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.99543379,0.97716895,1,1,1,0.91,0,1,0.82,0.47826087,0,0,1,0.99,0.764705882,1,1,1,1,34
37,1,0.999999777,0.999997492,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.97716895,0.97716895,1,1,1,1,0,1,1,0.466403162,0,0,1,0.99,0.764705882,1,1,1,1,34
38,1,0.99999978,0.999997498,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.988584475,0.988584475,1,1,1,1,0,1,1,0.458498024,0,0,1,0.99,0.882352941,0.989010989,1,1,1,34
39,1,0.999999778,0.999997471,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.98630137,0.970319635,1,1,1,1,0,1,0.79,0.442687747,0,0,1,0.99,0.941176471,1,1,1,1,34
40,1,0.999999777,0.999997471,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.988584475,0.988584475,1,1,1,1,0,1,1,0.494071146,0,0,1,0.99,0.941176471,1,1,0.99,1,34
41,1,0.999999822,0.999997479,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.97260274,0.97260274,1,1,1,1,0,1,1,0.628458498,0,0,1,0.99,0.941176471,1,1,1,1,34
42,1,0.99999978,0.999997491,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.949771689,0.949771689,1,1,1,1,0,1,1,0.557312253,0,0,1,0.99,0.882352941,1,1,1,1,34
43,1,0.999999777,0.999997471,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.97260274,0.97260274,1,1,0.92,0.92,0,1,1,0.529644269,0,0,1,0.99,0.941176471,1,1,0.99,1,34
44,1,0.99999983,0.999997502,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.988584475,0.970319635,1,1,1,0.93,0,1,0.86,0.466403162,0,0,1,0.99,0.764705882,1,1,1,1,34
45,1,0.999999826,0.999997479,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.993150685,0.993150685,1,1,1,1,0,1,1,0.612648221,0,0,1,0.99,0.941176471,1,1,1,1,34
46,1,0.999999784,0.999997484,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.940639269,0.910958904,1,1,1,1,0,1,0.9,0.482213439,0,0,1,0.99,0.941176471,0.989010989,1,1,1,34
47,1,0.999999777,0.999997471,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.97716895,0.95890411,1,1,1,1,0,1,0.84,0.446640316,0,0,1,0.99,0.882352941,1,1,1,1,34
48,1,0.999999829,0.999997475,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.99086758,0.99086758,1,1,1,1,0,1,1,0.391304348,0,0,1,0.99,0.882352941,1,1,1,1,34
49,1,0.999999822,0.999997464,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.96803653,0.96803653,1,1,1,1,0,1,1,0.383399209,0,0,1,0.99,0.823529412,1,1,1,1,34
50,1,0.999999832,0.999997491,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.942922374,0.942922374,1,1,1,1,0,1,1,0.47826087,0,0,1,0.99,0.882352941,1,1,1,1,34
51,1,0.999999822,0.999997456,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.961187215,0.961187215,1,1,1,1,0,1,1,0.509881423,0,0,1,0.99,0.882352941,1,1,1,1,34
52,1,0.999999806,0.999997462,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.942922374,0.942922374,1,1,1,1,0,1,1,0.600790514,0,0,1,0.99,0.705882353,1,1,1,1,34
53,1,0.999999775,0.999997482,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.997716895,0.993150685,1,1,1,1,0,1,0.5,0.446640316,0,0,1,0.99,0.764705882,0.989010989,0.985074627,1,0.98,34
54,1,0.999999799,0.999997457,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.938356164,0.938356164,1,1,1,1,0,1,1,0.557312253,0,0,1,0.99,0.882352941,1,1,1,1,34
55,1,0.99999982,0.999997457,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.942922374,0.942922374,1,1,1,1,0,1,1,0.533596838,0,0,1,0.99,0.882352941,1,1,1,1,34
